source_pdf,query,answer
Organic framing guide.pdf,How to harvesting for Rice?,"Second fortnight of October Varieties Karjat-3, Karjat-4, Karjat-7 and Palghar-1 Important features of suitable varieties Varieties Karjat-3 Karjat-4 Karjat-7 Palghar-1 Duration (days) 115-120 110-115 115-120 125-130 Average yield under organic 3500 to 3700 3300 to 3500 3400 to 3600 3900 to 4100condition (kg/ha) Source (s) of availability RARS, Karjat RARS, Karjat RARS, Karjat RARS, KarjatSuitable regions/districts Suitable for Suitable for Suitable for Konkan region in the state rainfed uplands rainfed uplands rainfed uplands and as well as as well as irrigated and irrigated Maharashtra irrig..."
Organic framing guide.pdf,How to seed treatment for Rice?,Source and optimum quantity Materials Quantity/m2area Method of of organic manures/other application nutrient source/m2 of nursery FYM   3 kg/m2 area Soil incorporationbefore nursery sowing
Organic framing guide.pdf,How to weed management for Rice?,"Mulching of Glyricidia green leaves and mannual hand weeding Organic plant protection Name of pest/ Recommended Quantity/m2 area practices disease organic material used for control Different insect Application of neem 1500 ppm@5 ml/lit pests formulation of water for two times Optimum age of nursery (days) 22 to 26 days 214 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Field preparation: Field is ploughed for solar heating in the month of May. Second ploughing and clod crushing is done before monsoon with wooden plough or tractor or power tiller drawn cultivator..."
Organic framing guide.pdf,How to irrigation for Rice?,practices Rainfed during Kharif and canal
Organic framing guide.pdf,How to irrigation for Rice?,"during Rabi Major weeds Echinochloa crusgalli (Phakhad), Echinochloa colonum (Phakhad), Cyperus iria (Lavala), Cyperus rotundus (Lavala) and Ischane globossa (Dhur) 215 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to weed management for Rice?,Critical stage Recommended practice for organic of weeding condition 20 Days after transpl anting Cono- weeder hoeing 30 Days after transplanting Cono- weeder hoeing and manual (Tillering) hand weeding 60 Days after transplanting Manual hand weeding (Panicle initiation ) Organic plant protection Name of the pest/ Organic material practices disease recommended for control Insect pests Stem borer • Ploughing and collection of stubbles and their composting after
Organic framing guide.pdf,How to harvesting for Rice?,"of rice.  Use of tolerant and resistant varieties.  Crop rotation with ground nut, Dolichos bean, cucumber and red pumpkin. "
Organic framing guide.pdf,How to harvesting for Rice?,"of rice close to the ground with Vibhav sickle developed by DBSKKV; Dapoli to kill the hibernating larvae.  Use of pheromone traps @20 Nos./ ha  Release of Trichogramma @ 50000/ ha for 4 times.  Collection of egg masses and their destruction.  Conservation and preservation of frogs in the field Case worm  Timely transplanting  Intermittent draining out water from the field  Flooding the field followed by dragging a rope across the field anddraining out the water from the field Brown Plant  Use of tolerant and resistantHoppers (BPH), Whi te varieties..."
Organic framing guide.pdf,How to harvesting for Rice?,of crop to expose the hibernatingstages of pest.  Everyday inspection of the field during dry spell and at maturity.  Keeping the bunds clean and free of weed in the beginning of theseason.  Digging the trench and flooding it with water for preventing migration oflarvae from one field to another field.  Erection of bird perches. 
Organic framing guide.pdf,How to harvesting for Rice?,the crop immediately after it attains the maturity.  Conservation and preservation of frogs in the field. Leaf eating caterpillars  Erection of bird perches. Diseases Blast and sheath rot  Use of tolerant and resistant varieties.  Spraying of Pseudomonas fluroscence @ 8-10 g / lit of water [for 2-3 times] starting from maximum tillering to flowering stage. Bacterial leaf blight  Use of tolerant and resistant varieties.  Intermittent draining out water from the field.  Judicious use of nitrogenous fertilizers...
Organic framing guide.pdf,How to seed treatment for Groundnut?,Rhizobium strain 25g/ kg of seed
Organic framing guide.pdf,How to seed treatment for Groundnut?,"Spacing (row x Plant) in cm 30x15cm Basal application of organic Source Quantity/ha manures FYM 1500 kg Neem cake 160 kg Vermicompost 560 kg Top dressing of organic Source Quantity/ha Days after sowing/ manures planting or stage of crop 1. Cow urine 50 lit/ha Spraying at 30 and 219 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 2. Vermiwash 50 lit/ha 60 days after sowing"
Organic framing guide.pdf,How to irrigation for Groundnut?,practices Number of Most critical stage Depth of
Organic framing guide.pdf,How to irrigation for Groundnut?,"s at Branching, 60 cm (6 cm/ an interval of Flowering,"
Organic framing guide.pdf,How to irrigation for Groundnut?,") 10-12 days Pegging, Pod formation and Pod filling Major weeds Physalis minima (Ranpopati ), Portulaca oleracea (Motha ghol ), Alternanthera sessilis (Reshimkata ), Blumea lacera (Bhamrud) and Amaranthus viridis (Ranti math )"
Organic framing guide.pdf,How to weed management for Groundnut?,Critical stage Recommended practice forof weeding organic condition 20 DAS Dry land weeder Flowering Manual weeding at the time of earthing up. Organic plant protection Name of the pest/ Organic material Quantity practices disease recommended for control Insect pests Aphids  Application of 3ml/lit neemicide Tikka (leaf spot)  Use of tolerant and resistant varieties. Rust  Use of tolerant and resistant varieties.  Judicious use of
Organic framing guide.pdf,How to harvesting for Groundnut?," General yellowing of crop.  Blackening of inside portion of shell. Development of ridges on pod  Colour development of kernel as per varietal character. Yield Year 2007- 2008- 2009- 2010- 2011- 2012- 2013- Mean 08 09 10 11 12 13 14 Economic yield 1671 3395 3648 2881 2584 2546 1876 2657 (kg/ha) 220 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Dolichos bean Particulars Rabi Crop Dolichos bean Sowing/planting Sowing - Second fortnight of December"
Organic framing guide.pdf,How to harvesting for Groundnut?,"First fortnight of February to second fortnight of March Variety Konkan Bhushan Important features of suitable variety Variety Konkan Bhushan Duration (days) 100 days Average yield under organic condition (kg/ha) 50 00-5200 green pods kg/ha Source (s) of availability RARS, Karjat Suitable regions/districts in the state Maharashtra stateSpecific resistance/tolerance to disease Resistant to yellow mosaic virus Special character Dwarf, Does not require support Field preparation: Plough the field after harvest of Kharif rice..."
Organic framing guide.pdf,How to seed treatment for Groundnut?,"Spacing (row x Plant) in cm 45 x 15 cm Basal application of organic Source Quantity/ha manures FYM 4000 kgNeem cake 390 kg 221 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Vermicompost 1330 kg Top dressing of organic Source Quantity/ha Days after sowing/ manures planting or stage of crop 1. Cow urine 50 lit/ha Spraying at 30 and 2. Vermiwash 50 lit/ha 60 days after sowing"
Organic framing guide.pdf,How to irrigation for Groundnut?,practices Number of Most critical Depth of
Organic framing guide.pdf,How to irrigation for Groundnut?,"s Branching, 54 cm (6 cm/ Flowering and"
Organic framing guide.pdf,How to irrigation for Groundnut?,") Pod formation Major weeds Physalis minima (Ranpopati ), Portulaca oleracea (Motha ghol ), Alternanthera sessilis (Reshimkata ), Blumea lacera (Bhamrud) and Amaranthus viridis (Ranti math )"
Organic framing guide.pdf,How to weed management for Groundnut?,"Critical stage Recommended practice for organic condition of weeding 25-40 DAS Dry land weeder, One hand weeding Organic plant protection Name of the pest/ Organic material Quantity practices disease recommended for control Insect pests Aphids  Application of 3ml/lit neemicide Pod borer  Application of 3ml/lit neemicide Diseases Powdery mildew  Use of resistant and tolerant varieties. Optimum stage of"
Organic framing guide.pdf,How to harvesting for Groundnut?,"Picking for green pods from 60 to100 days after sowing Yield Year 2007- 2008- 2009- 2010- 2011- 2012- 2013- Mean 08 09 10 11 12 13 14 Economic yield 5024 2998 3017 1904 4949 5627 4974 4070 (kg/ha) 222 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Cucumber Particulars Rabi Crop Cucumber Sowing/planting Sowing – First fortnight of January"
Organic framing guide.pdf,How to harvesting for Groundnut?,"First fortnight of March to first fortnight of April Varieties Hemangi and Sheetal Important features of suitable varieties Varieties Hemangi Sheetal Duration (days) 100-110 95-105 Average yield under organic condition (kg/ha) 11500-12000 12000-12500 Source (s) of availability Government/private DBSKKV, Dapoli agencies Suitable regions/districts in the state Maharashtra state Maharashtra state Specific resistance/tolerance to disease Tolerant to powdery mildew and downy mildew Field preparation: Ploughing the field after harvest of Kharif rice..."
Organic framing guide.pdf,How to seed treatment for Groundnut?,"Spacing (row x plant) in cm 1.5 x 0.9 m Basal application of organic Source Quantity/ha manures FYM 9000 kg Neem cake 870 kg Vermicompost 3000 kg 223 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to irrigation for Groundnut?,s at an 72 cm (6 cm/ interval of 7-8 days
Organic framing guide.pdf,How to irrigation for Groundnut?,") Major weeds Physalis minima (Ranpopati ), Portulaca oleracea (Motha ghol ), Alternanthera sessilis (Reshimkata ), Blumea lacera (Bhamrud) and Amaranthus viridis (Ranti math )"
Organic framing guide.pdf,How to weed management for Groundnut?,"Critical stage Recommended practice for of weeding organic condition 30-60 DAS Hand weeding Organic plant protection Name of the Organic material Quantity (kg orpractices pest/disease recommended for liters/ha)control Insect pests Red pumpkin  Application of 3ml/lit beetle neemicide. Fruit fly  Erection of 4 Nos. /ha Rakshak pheromone trap designed byDr. BSKKV, Dapoli Diseases Powdery and  Growing tolerant and resistant varieties. Downey mildew  Crop rotation. Optimum stage of"
Organic framing guide.pdf,How to harvesting for Groundnut?,"60-100 DAS. Yield Year 2007-08 2008-09 2009-10 2010-11 2011-12 2012-13 Mean Economic yield (kg/ha) 6044 8507 5509 5919 11357 12537 8312 224 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Red pumpkin Particulars Rabi Crop Red pumpkin Sowing/planting Sowing – First fortnight of January"
Organic framing guide.pdf,How to harvesting for Groundnut?,"First fortnight of April Variety MPH-1 Important features of suitable variety Variety MPH-1 Duration (days) 95-100 Average yield under organic condition (kg/ha) 12500-13000 kg/ha Source (s) of availability RARS, Karjat Suitable regions/districts in the state Maharashtra stateSpecific resistance/tolerance to disease Tolerant to powdery mildew and downy mildew Field preparation: Ploughing the field after harvest of Kharif rice. Criss-cross cultivation and clod crushing with peg tooth cultivator to bring the soil into good tilth. Cultural practices Seed rate (kg/ha) 6..."
Organic framing guide.pdf,How to seed treatment for Groundnut?,Spacing (row x Plant) in cm 1.5 x 0.9 m Basal application of organic Source Quantity/ha manures FYM 6670 kg Neem cake 650 kg Vermicompost 2230 kg
Organic framing guide.pdf,How to irrigation for Groundnut?,s at an 60 cm(6 cm/ interval of 10 days
Organic framing guide.pdf,How to irrigation for Groundnut?,") 225 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Major weeds Physalis minima (Ranpopati ), Portulaca oleracea (Motha ghol ), Alternanthera sessilis (Reshimkata ), Blumea lacera (Bhamrud) and Amaranthus viridis (Ranti math )"
Organic framing guide.pdf,How to weed management for Groundnut?,Critical stage of weeding Re commended practice for organic condition 30-60 DAS Hand weeding Organic plant protection Name of the pest/ Organic material Quantity (kg or practices disease recommended for liters/ha)control Insect pests Red pumpkin  Spraying of 3ml/lit beetle neemicide Fruit fly  Erection of 4 Nos. / ha Rakshak pheromone trap designed byDR. B.S.K.K.V.Dapoli. Diseases Powdery mildew  Follow crop rotation. and downy mildew  Maintain field sanitation. Optimum stage of
Organic framing guide.pdf,How to harvesting for Groundnut?," 90 – 100 DAS Yield Year 2007- 2008- 2009- 2010- 2011- 2012- Mean 08 09 10 11 12 13 Economic yield (kg/ha) 17421 3369 11024 8450 12561 12726 10925 Maize under organic production system Dolichos bean under organic production system 226 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram MEGHALAYA Suggested cropping systems (based on testing under NPOF) 1. Rice-carrot (Raised beds in lowland) 2. Rice-tomato (Raised beds in lowland) 3. Maize+soybean-french bean (Upland) Details of crops in cropping systems"
Organic framing guide.pdf,How to harvesting for Rice?,"NovemberVarieties Shahsarang 1, Lampnah Important features of suitable varieties Varieties Shahsarang 1 Lampnah Duration (days) 140-145 140-150 Average yield under organic 4050 3800 condition (kg/ha) Source (s) of availability ICAR-R C NEH, Umiam ICAR-RC NEH, Umiam Suitable regions/districts in the state Ri-Bhoi district (800-1200 m Ri-Bhoi district (800-1200 m above mean sea level) above mean sea level) Specific resistance / tolerance to pest Tolerant to stem borer Tolerant to stem borerSpecific resistance / tolerance to disease Tolerant to blast Tolerant to blast Specific tolerance to drough..."
Organic framing guide.pdf,How to seed treatment for Rice?,harzianum water per acre Neem cake 40 g per m2Soil application Source and optimum quantity Materials Quantity/m2 area Method of of organic manures/other application nutrient source/m2 of nursery Farmyard manure 1.5 kg/ m2Soil mixing @ 2:1 (FYM) ratio
Organic framing guide.pdf,How to irrigation for Rice?,"practices If continuous dry spell occurs for 4-5 days, then"
Organic framing guide.pdf,How to irrigation for Rice?,is advocated with rose can
Organic framing guide.pdf,How to weed management for Rice?,"Two hand weeding at 8 and 15 Days after sowing (DAS) Organic plant protection Name of pest/ Recommended Quantity/m2 area practices disease organic materialused for control Leaf Hopper Neem oil 3 ml/lt Optimum age of nursery (days) 20 days Field preparation: The land is prepared thoroughly and well levelled with peripheral bunding. Puddling is done 2-3 times to make it weed free and water retentive. All weed biomass and crop residues of previous crop are incorporated with the soil during ploughing. A nutrient dose of 80:60:40 kg/ha of N, P2O5 and K2O is recommended..."
Organic framing guide.pdf,How to irrigation for Rice?,"practice is followed by managing rainfall.Continuous submergence of 2-5 cm is maintained during transplanting to maturity. However, water is drained out during tillering stage to facilitate better tillering. Water is drained permanently duringphysiological maturity. If dry spell occurs continuously for 10-12 days, life saving"
Organic framing guide.pdf,How to irrigation for Rice?,"is recommended. Major weeds Scientific name Common name Spilanthus Acmella Toothache plant 229 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Alternanthera philoxeroides Alligator weed Rotala indica Indian toothcup Echinocloa crusgalli Barnyard grass Cyperus rotundus Nutgrass Ageratum houstonianum Floss flower Polygonum hydropiper Water pepper Cuphea hyssopifolia False heather"
Organic framing guide.pdf,How to weed management for Rice?,Critical stage of weeding Recommended practice for organic condition 25-45 DAT Two hand weeding and one Cono- weeding is recommended to manage weeds. First hand weeding is done at 20 DAT and second at 55 DAT...
Organic framing guide.pdf,How to irrigation for Rice?,s Most critical stages for
Organic framing guide.pdf,How to irrigation for Rice?,"(cm) In Meghalaya, after"
Organic framing guide.pdf,How to harvesting for Rice?,"of rice, there is enough moisture in valleyland due to seepage from surrounding hillocks, carrot grow normallyunder residual soil moisture. However, if required, life saving"
Organic framing guide.pdf,How to irrigation for Rice?,is given during dry spell. Major weeds Scientific name Common name Commelina benghalensis Day flower Galinsoga parviflora Gallant soldier Oxalis corniculata Sleeping beauty Chenopodium album Lamb’s quarters Drymaria cordata Tropical chick weed
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage Recommended practice for organic condition of weeding 30-35 DAS One hand weeding and hoeing along with earthing up at about 30-35 DAS is carried out to suppress weed growth. Thinning is also beingdone at the time of weeding. Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol Carrot fly, Bacterial Pestoneem 3 ml/lt blight, Powdery mildew Derisom 2ml/lt Optimum stage of"
Organic framing guide.pdf,How to harvesting for Rice?,"The root attain marketable stage when their diameter of tuber is 2-4 cm at the upper end Yield Year 1st2nd3rd4th5th6th7thMean Economic yield (kg/ha) 10780 14060 11950 11860 11970 13800 12750 12452 232 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to harvesting for Tomato?,"MayVarieties Rocky, Avinash-2, Mega Tomato-3 Important features of suitable varieties Varieties R ocky Avinash 2 Mega Tomato-3 Duration (days) 100-105 105-110 100-110 Average yield under organic condition (kg/ha) 20425 21309 23000 Source (s) of availability M arket, Market, ICAR-RC Syngenta Co. Syngenta Co..."
Organic framing guide.pdf,How to irrigation for Tomato?,"practices After sowing of seeds, the nursery beds are irrigated with water and thereafter, light"
Organic framing guide.pdf,How to irrigation for Tomato?,with rose can is given everyday morning andevening.
Organic framing guide.pdf,How to weed management for Tomato?,"Two hand weeding is needed to suppress weed growth Organic plant protection Name of pest/ Recommended Quantity/ m2 area practices disease organic materialused for control No pesticides applied in nursery Optimum age of nursery (days) 25-30 days Field preparation: The land is configured into temporary raised bed of 30 cm height, 2m width and 8 m length after the harvest of rice, to facilitate the growing of Tomato crop. A well pulverized soil is obtained by ploughing the raised beds 2 times followed by harrowing. 30% of rice stubbles is retained and incorporated into the soil during ploughing..."
Organic framing guide.pdf,How to irrigation for Tomato?,practices Number of Most critical
Organic framing guide.pdf,How to irrigation for Tomato?,"During dry year, 2-3 Vegetative, Flowering and Fruitlife"
Organic framing guide.pdf,How to irrigation for Tomato?,is required. formation stage. Major weeds Scientific name Common name Drymaria cordata Tropical chick weed Galinsoga parviflora Gallant soldier Oxalis corniculata Sleeping beauty Commelina benghalensis Day flower
Organic framing guide.pdf,How to weed management for Tomato?,"Critical stage of Recommended practice for organic condition weeding Vegetative stage Hand hoeing Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control Leaf miner, Fruit Lantana leaf extract 100 ml in 1 litre borer, White fly (10%) of water Pestoneem 2.5 ml/lt Nematodes and Derisom 2 ml/lt Late blight Optimum stage of"
Organic framing guide.pdf,How to harvesting for Tomato?,"Pink to light red colour fruits 235 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Yield Year 1st2nd3rd4th5th6th7thMean Economic yield (kg/ha) 29800 25000 24500 26200 19300 21300 20600 23814 Mixing of FYM and soil for nursery bed preparation (2:1)Preparing tomato pits for transplantingApplying rock phosphate in tomato pit Tomato grown under organic in raised bedsFruiting of tomato Harvested tomato from organic plot 236 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Maize+soybean (2:2 ratio) Particulars Summer Crop Maize+soybean Sowing /planting A pril-..."
Organic framing guide.pdf,How to harvesting for Tomato?,"July-August Varieties Maize-DA-61-A, RCM-1-3, Soybean- JS-80-21 Important features of suitable varieties Varieties Maize Soyabean DA-61-A RCM-1-1 JS-80-21 Duration (days) 110-115 110-120 145-150 Average yield under organic 4500-4900 4400-4800 1800-2100 condition (kg/ha) Source (s) of availability ICAR-RC NEH, ICAR-RC NEH, ICAR-RC NEH, Umiam Umiam Umiam Suitable regions/districts in Ri-Bhoi district, Ri-Bhoi district, Ri-Bhoi district, the state Dimapur (Nagaland), Dimapur (Nagaland), Dimapur (Nagaland), Garo Hills district Garo Hills district Garo Hills district Specific resistance/tolerance T..."
Organic framing guide.pdf,How to seed treatment for Tomato?,viride Spacing (row x plant) in cm 50 cm x 25 cm Basal application of organic Source Quantity/ha manures FYM 15 tonnes Neem cake 150 kg Rock phosphate 200 kg Top dressing of organic Source Quantity Days after sowing/ manures planting or stage of crop Vermiwash 100 ml per litre 30 DASof water Panchagavya 3 litres per 100 Tasseling (60-65 litres of water DAS)
Organic framing guide.pdf,How to irrigation for Tomato?,s Most critical stages for
Organic framing guide.pdf,How to irrigation for Tomato?,"Maize is grown under rainfed condition Knee high stage in Meghalaya. However, if prolong dry and Tasseling spell for 15-20 days occurs, life saving stage"
Organic framing guide.pdf,How to irrigation for Tomato?,"may be given at critical stages of the crop. 238 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Major weeds Scientific name Common name Alternanthera philoxeroides Alligator weed Drymaria cordata Tropical chick weed Commelina benghalensis Day flower Ageratum conyzoides Goat weed"
Organic framing guide.pdf,How to weed management for Tomato?,Critical stage of weeding Recommended practice for organic condition Knee high stage and Two hand weeding is Tasseling stage recommended to manage weeds. First hand weeding is done at 25 DAS and second at 50 DAS. Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control Stem borer Pestoneem 3 ml/lt Cob borer Derisom 2.5 ml/lt Cut worms Lantana leaf 10 % Leaf blight extract Brown spot Optimum stage of
Organic framing guide.pdf,How to harvesting for Tomato?,"The cob is harvested when the plant has become straw coloured (light brown) and the grain hard, some of the cobs will droop downwards..."
Organic framing guide.pdf,How to seed treatment for Tomato?,"viride Spacing (row X plant) in cm 25 cm x 15 cm Basal application of organic Source Quantity/ha manures FYM 15 tonnes Neem cake 150 kg Rock phosphate 200 kg Top dressing of organic Source Quantity/ha Days after sowing / manures planting or stage of crop Panchagavya 25 litre 20-25 DAS 240 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to irrigation for Tomato?,practices Number of Most critical Depth of
Organic framing guide.pdf,How to irrigation for Tomato?,"(cm) The crop is grown under rainfed condition. However, one life saving"
Organic framing guide.pdf,How to irrigation for Tomato?,is given during dry spell Major weeds Scientific name Common name Drymaria cordata Tropical chick weed Commelina benghalensis Day flower Galinsoga parviflora Gallant soldier Oxalis corniculata Sleeping beauty Chenopodium album Lamb’s quarters
Organic framing guide.pdf,How to weed management for Tomato?,Critical stage Recommended practice for organicof weeding condition 30-35 DAS One hand weeding and hoeing along with earthing up at about 30-35 DAS is carried out tosuppress weed growth Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control Anthracnose Pestoneem 2.5 ml/lt Rhizoctonia blight Blister Derisom 2ml/lt beetle Mites Optimum stage of
Organic framing guide.pdf,How to harvesting for Tomato?,"Tender pods become ready for harvest from 55-60 DAS Yield Year 1st2nd3rd4th5th6th7thMean Economic yield (kg/ha) 7400 7900 8420 9030 8900 9210 9580 8634 French bean (Naga local) French bean (RCM FB-18) French bean pod ready for harvest 241 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Details of specific practices/products used/recommended Name of the Source and preparation Time, rate and purpose of input application Panchagavya It is a cow excreta based indigenous 3% solution was found to be most nutrient solution..."
Organic framing guide.pdf,How to harvesting for Tomato?,"1st fortnight of Oct Variety suitable for organic farming Prabhat Important features of suitable variety Variety Prabhat Duration (days) 95 Source (s) of availability PAU Suitable regions/districts in the state Punjab Specific tolerance to drought/water logging Logging resistance 245 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Field preparation: Four ploughing (Disc harrow/Cultivator) and planking Cultural practices Seed rate (kg/ha) 20 Spacing (row x plant) in cm 60 x 20 Basal application of organic Source Quantity/ha manures FYM (1% N) 4.25 tonnes Vermicompost 2..."
Organic framing guide.pdf,How to irrigation for Tomato?,"5 Tasselling 7.5 Major weeds Commelina benghalensis, Trianthema portulacastrum & Brachiaria reptans"
Organic framing guide.pdf,How to weed management for Tomato?,"Critical stage Recommended practice for organic condition of weeding 20-40 DAS Hand weeding Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol Stem borer Tricho cards 40 cards/acre at 10-15 DAS Yield Year 1st2nd3rdMean Economic yield (kg/ha) 5190 4540 4200 4643 246 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Potato Important features of suitable variety Variety Kufri Chandramukhi Duration (days) 80-90 Source (s) of availability PAU Suitable regions/districts in the state Punjab Field preparation: Ploughing (mould bo..."
Organic framing guide.pdf,How to irrigation for Tomato?,(cm) 7 Tuber formation 7.5
Organic framing guide.pdf,How to weed management for Tomato?,"Critical stage Recommended practice for organic of weeding condition 30-45 DAS Hand weeding Yield Year 1st2nd3rd4th5thMean Economic yield (kg/ha) 15600 14850 15280 20440 17200 16674 247 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram orSummer greengram Important features of suitable variety Variety SML 668 Duration (days) 60Source (s) of availability PAU Suitable regions/districts in the state Punjab Specific resistance / tolerance to pest Thrips Specific resistance / tolerance to disease Moongbean yellow mosaic virus Field preparation: Two ploughing and planking (Disc harr..."
Organic framing guide.pdf,How to irrigation for Tomato?,(cm) 4 Flowering 7.5
Organic framing guide.pdf,How to weed management for Tomato?,"Critical stage Recommended practice for organic of weeding condition 30-40 DAS Hand weeding Yield Year 1st2nd3rd4th5thMean Economic yield (kg/ha) 900 1580 1330 1160 1240 1242 248 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to harvesting for Turmeric?,2nd fortnight of Dec Varieties suitable for organic farming Pb Haldi 1 Important features of suitable variety Variety Pb Haldi 1 Duration (days) 215 Source (s) of availability PAU Suitable regions/districts in the state Punjab Field preparation: Two plouging (Disc harrow/cultivatior) and planking Cultural practices Seed rate (kg/ha) 2000 Spacing (row x plant) in cm 30 x 20 Basal application of organic Source Quantity/ha Source Quantity/ha manures FYM (1% N) 15 tonnes FYM (1% N) 10 t/ha VC (1.5% N) 3.25 t/ha
Organic framing guide.pdf,How to irrigation for Turmeric?,"(cm) 15 Rhizome formation 7.5 Major weeds Eleusine indica , Trianthema portulacastrum , cyperus rotundus, Digitaria ciliaris ( Takri gha )"
Organic framing guide.pdf,How to weed management for Turmeric?,"Critical stage Recommended practice for organic of weeding condition 30-45 DAS Apply 10 t/ha rice straw mulch and if needed give one hoeing at 3 months of sowing the crop orgive 3 hand weedings at 1, 2 and 3 months of sowing the crop. Optimum stage of"
Organic framing guide.pdf,How to harvesting for Turmeric?,"Complete yellowing and drying of plant Yield Year 1st2nd3rd4th5thMean Economic yield (kg/ha) 62850 19750 25260 28650 27910 32884or 249 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Onion Important features of suitable variety Variety Pb Naroa Duration (days) 145 Source (s) of availability PAU Suitable regions/districts in the state Punjab Specific resistance / tolerance to pest Thrips,Heliothis Specific resistance / tolerance to disease Purple Blotch Nursery raising practices Area of nursery required for 1 ha 62..."
Organic framing guide.pdf,How to weed management for Turmeric?,"Hand weeding Optimum age of nursery (days) 30 DAS Field preparation: One ploughing followed by planking Cultural practices Seed rate (kg/ha) 10 Spacing (row x plant) in cm 15 x 7.5 250 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Number of seedlings/hill 1-2 Basal application of organic Source Quantity/ha Source Quantity/ha manures FYM (1% N) 10 tonnes FYM (1% N) 6.75 t/ha VC (1.5% N) 2.25 t/ha"
Organic framing guide.pdf,How to irrigation for Turmeric?,"(cm) 12 Bulb formation 7.5 Major weeds Phalaris minor, Medicago denticulate , Anagalis arvensis, Lepidium sativa"
Organic framing guide.pdf,How to weed management for Turmeric?,"Critical stage Recommended practice for organic condition of weeding 30-45 DAT Hand weeding Yield Year 1st2nd3rd4th5thMean Economic yield (kg/ha) 13750 12650 16930 18050 14890 15254or Onion under organic management View of experimental plot of onion under organic management 251 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Basmati rice Particulars Kharif Crop Basmati Rice Fortnight of nursery sowing/planting 1st fortnight of June/1st fortnight of July Fortnight of"
Organic framing guide.pdf,How to harvesting for Turmeric?,1st fortnight of Nov Varieties suitable for organic Punjab Basmati 2 Important features of suitable variety Variety Punjab Basmati 2 Duration (days) 140 Source (s) of availability PAU Suitable regions/districts in the state Punjab Nursery raising practices Area of nursery required for 1 ha 500 m2 Nursery raising method Flat bed sowing Bed size (length x breadth in m) 10 m x 2 m plot size Seed sowing rate/m240 g Pre-sowing seed/soil Materials Quantity/kg of Met hod of treatment seed or per m2 area application Source and optimum quantity Materials Quantity/ m2 area Method of application of organ...
Organic framing guide.pdf,How to irrigation for Turmeric?,"(cm) 15 Panicle initiation 7.5 Major weeds Cyperus spp, Eleusine indica, Caesulia axillaris, Echinochloa crusgalli, Ischaemum rugosum, Sphenoclea zeylanica"
Organic framing guide.pdf,How to weed management for Turmeric?,"Critical stage Recommended practice for organic of weeding condition 30-40 DAT Hand weeding Yield Year 1st2nd3rdMean Economic yield (kg/ha) 2990 3120 2420 2843 Basmati rice transplanting under organic management Basmati rice at vegetative stage under organic management 253 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Wheat Important features of suitable variety Variety PBW 621 Duration (days) 158 Source (s) of availability PAUSuitable regions/districts in the state Punjab Specific resistance / tolerance to disease Brown rust,Yellow rust Field preparation: Three ploughing..."
Organic framing guide.pdf,How to irrigation for Turmeric?,"(cm) 5 CRI 7.5 Major weeds Chenopodium album, Phalaris minor, Convolvulus arvensis, Rumex dentatus, Malva neglecta"
